word,count
young,132
man,119
life,111
two,103
world,85
new,73
family,66
war,66
woman,65
story,63
love,61
one,60
find,54
old,54
must,49
finds,47
boy,46
father,45
help,45
becomes,44
wife,44
girl,42
american,40
friends,39
year,39
son,39
former,38
years,38
three,35
city,33
town,32
murder,32
lives,32
time,31
mother,30
small,29
school,29
mysterious,29
team,29
home,29
tries,29
group,27
crime,26
friend,26
people,26
ii,25
police,25
daughter,25
become,25
search,24
day,24
men,24
high,23
battle,23
get,23
back,23
past,22
first,22
york,22
death,22
takes,22
way,21
agent,21
journey,20
child,20
german,20
set,20
live,20
leads,20
save,19
together,19
goes,19
order,19
falls,18
sets,18
future,18
detective,17
secret,17
discovers,17
struggles,17
relationship,17
fight,17
four,17
go,16
forced,16
film,16
officer,16
living,16
violent,16
run,16
army,16
series,16
sent,16
around,16
couple,15
work,15
french,15
star,15
indian,15
stop,15
human,15
lawyer,15
true,15
teacher,14
discover,14
black,14
soldiers,14
missing,14
days,14
take,14
another,14
events,14
brother,14
gang,14
women,13
comes,13
children,13
killer,13
race,13
drug,13
sister,13
hired,13
begins,13
lord,13
prison,13
make,13
dead,13
husband,12
returns,12
gangster,12
singer,12
five,12
forces,12
student,12
free,12
friendship,12
wealthy,12
jewish,12
track,12
attempt,12
personal,12
early,12
learns,12
turn,12
british,12
struggle,12
like,12
lover,12
escape,12
career,12
accused,12
class,12
tells,12
space,12
decides,12
assassin,12
rich,11
worker,11
whose,11
force,11
trip,11
crew,11
angeles,11
ex,11
violence,11
corruption,11
country,11
case,11
ruthless,11
little,11
king,11
real,11
quest,11
land,11
teenage,11
village,11
evil,11
long,11
los,11
meet,11
meets,11
mob,11
power,11
bond,11
seven,11
several,11
along,11
away,10
gets,10
game,10
behind,10
professional,10
empire,10
nazi,10
government,10
hollywood,10
based,10
band,10
desperate,10
older,10
destroy,10
planet,10
named,10
earth,10
murdered,10
movie,10
trying,10
leaves,10
best,10
college,10
female,10
childhood,10
insane,10
con,10
return,10
local,10
accident,10
protect,10
even,10
care,10
attack,9
ring,9
great,9
makes,9
princess,9
south,9
captain,9
criminal,9
leader,9
community,9
japanese,9
fellow,9
works,9
working,9
apartment,9
spy,9
russian,9
corrupt,9
travel,9
look,9
mission,9
brutal,9
united,9
plot,9
poor,9
powerful,9
uses,9
age,9
agrees,9
middle,9
troubled,9
harry,9
night,9
history,9
left,9
society,9
commit,9
train,9
christmas,9
beautiful,9
criminals,9
prince,9
attempts,8
street,8
alien,8
universe,8
unlikely,8
aging,8
boxer,8
dreams,8
parents,8
artist,8
taken,8
survive,8
house,8
general,8
wrong,8
brings,8
dark,8
plan,8
music,8
determined,8
body,8
east,8
deadly,8
party,8
veteran,8
enemy,8
may,8
truth,8
post,8
six,8
face,8
lead,8
led,8
soldier,8
travels,8
car,8
station,8
states,8
